Population,Generation,Stage,Size,Weight,MMR,SMR,Temperature,Chamber
HTC5,6,2,l,0.72,1.273987264,0.245626285,H,10
HTC5,6,2,l,0.788,1.535341463,0.291566019,H,11
HTC5,6,2,l,0.92,2.614054745,0.276702713,H,12
HTC5,6,1,s,0.136,0.295245117,0.141799219,H,6
HTC4,6,2,m,0.389,1.160160682,0.242673491,H,1
HTC4,6,2,m,0.363,0.651836463,0.172387299,H,2
HTC4,6,2,m,0.469,1.936322791,0.200447542,H,3
HTC4,6,2,l,0.709,2.306310926,0.124740791,H,4
HTC4,6,2,l,0.796,1.857228943,0.335948134,H,5
HTC4,6,1,s,0.188,0.707783058,0.092219668,H,1
HTC4,6,1,s,0.144,0.508526222,0.169369266,H,2
HTC4,6,1,s,0.254,0.935124244,0.204567564,H,3
HTC4,6,1,m,0.357,0.991736917,0.230243929,H,4
HTC4,6,1,l,0.812,1.676753853,0.216732053,H,5
LTC3,6,1,s,0.094,0.335126141,0.124360245,L,6
LTC3,6,1,s,0.088,0.228207196,0.02490048,L,9
LTC3,6,1,m,0.339,0.645985139,0.173336449,L,10
LTC3,6,1,s,0.223,0.676943768,0.175014502,L,11
LTC3,6,1,m,0.339,0.787111116,0.043202157,L,12
HTC5,6,1,s,0.134,0.742930834,0.105848552,H,6
HTC5,6,1,s,0.193,0.612248461,0.19051268,H,9
HTC5,6,1,m,0.389,1.023554165,0.139350891,H,10
HTC5,6,1,m,0.478,0.922743618,0.140801884,H,11
HTC5,6,1,l,0.809,1.584334294,0.096309081,H,12
LTC1,6,3,m,0.579,0.867488008,0.200489721,L,1
LTC1,6,3,l,0.855,1.234143153,0.271598864,L,2
LTC1,6,3,l,0.87,1.699829871,0.296754037,L,3
LTC1,6,3,l,1.172,1.547776893,0.306024601,L,4
LTC1,6,3,l,1.072,2.338974452,0.351692949,L,5
LTC3,6,3,m,0.543,2.834191588,0.291043396,L,6
LTC3,6,3,l,0.707,1.92500406,0.390243593,L,9
LTC3,6,3,l,0.74,2.16022574,0.247427894,L,10
LTC3,6,3,l,0.961,1.52108116,0.361420474,L,11
LTC3,6,3,l,0.966,1.7634378,0.246441045,L,12
HTC5,6,3,m,0.506,1.723981494,0.276418607,H,6
HTC5,6,3,m,0.596,1.240152392,0.287314691,H,9
HTC5,6,3,l,0.733,1.535405647,0.292097975,H,10
HTC5,6,3,l,0.921,1.773005647,0.457788755,H,11
HTC5,6,3,l,1.092,3.885258625,0.317058438,H,12
HTC4,6,3,m,0.5,0.932065923,0.181441219,H,1
HTC4,6,3,m,0.496,1.214309087,0.068017015,H,2
HTC4,6,3,l,0.751,1.587809994,0.422190829,H,3
HTC4,6,3,l,0.921,1.766009994,0.347431882,H,4
HTC4,6,3,l,0.817,1.970342514,0.322993485,H,5
HTC4,5,2,m,0.307,0.653904793,0.079834594,H,1
HTC4,5,2,m,0.453,0.91455323,0.148831709,H,2
HTC4,5,2,l,0.592,1.691954969,0.056650162,H,3
HTC4,5,2,l,0.733,1.335554969,0.092960389,H,4
