Population,Week,feed_rate,Generation,Temperature,Feed rate per fish,ave.weight of population,Feed rate per gram
LTC2,4,11.1032,Gen1,L,0.065312941,0.25665,0.254482529
LTC2,5,12.6852,Gen1,L,0.074618824,0.36385,0.205081279
LTC2,8,7.4584,Gen1,L,0.181912195,0.6733,0.270180002
LTC2,9,7.012,Gen1,L,0.17102439,0.8033,0.212902266
LTC3,1,7.289,Gen1,L,0.043646707,0.0802,0.544223274
LTC3,10,5.4343,Gen1,L,0.1358575,0.6751,0.201240557
LTC3,11,7.5379,Gen1,L,0.1884475,0.8298,0.227099904
LTC3,12,5.9602,Gen1,L,0.149005,0.9257,0.160964675
LTC3,13,5.9602,Gen1,L,0.149005,0.9919,0.150221797
LTC3,2,10.9052,Gen1,L,0.065300599,0.106944444,0.610603002
LTC3,3,16.1826,Gen1,L,0.096901796,0.166684211,0.581349584
LTC3,4,13.7602,Gen1,L,0.082396407,0.30425,0.270818101
LTC3,5,14.9916,Gen1,L,0.08977006,0.35395,0.253623562
LTC3,8,6.7572,Gen1,L,0.16893,0.6735,0.250824053
LTC3,9,6.6614,Gen1,L,0.166535,0.6887,0.241810658
